Sample ID,Visit ID,Site ID,WRIA Number,WRIA,Basin,Subbasin,Stream or River,Agency,Project,Site Code,Visit Date,Date Released,Latitude,Longitude,Lab Name,Sample Code,QC Replicate Of Sample Code,Collection Count,Positions In Stream,Surface Area,Surface Area Units,Taxa Effort,Deficiency Notes,QA/QC Result,Sampling Grid Squares Counted,Total Sampling Grid Squares,Taxon Serial Number,Taxon,Original Taxon Serial Number,Original Taxon,Quantity,Quantity Subsampling,Life Stage,Unique,Damaged,Immature,Outside Protocol,Wrong Gender
19050,13563,2385,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG004615,8/13/2024,4/14/2025,47.547016,-121.90215,"Rhithron Associates, Inc.",07RAG004615_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68946,Nais,68946,Nais,17,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19116,13634,2220,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG012515,9/5/2024,4/14/2025,47.46564,-121.86456,"Rhithron Associates, Inc.",07RAG012515_24,,8,Center of Riffle,8,ft2,Fine,,PASS,5,30,68510,Enchytraeidae,68510,Enchytraeidae,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
14757,9739,2388,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG042787,9/12/2018,11/19/2018,47.479864,-121.87046,"Rhithron Associates, Inc.",07RAG042787_18,,8,Center of Riffle,8,ft2,Fine,,,5,30,-200,Chamaedrilus,-200,Chamaedrilus,3,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19076,13592,2386,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG043443,8/20/2024,4/14/2025,47.497844,-121.905615,"Rhithron Associates, Inc.",07RAG043443_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68854,Naididae,68854,Naididae,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
13026,8181,2382,,,,,Raging River,King County - DNRP,Ambient Monitoring,07RAG054215,8/18/2015,4/22/2016,47.565877,-121.883567,"Rhithron Associates, Inc.",07RAG054215_15,,8,Center of Riffle,8,ft2,Fine,,,7,30,-138,Tubificinae,-138,Tubificinae,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19138,13654,2597,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LNT062039,9/11/2024,4/14/2025,47.722639,-121.739274,"Rhithron Associates, Inc.",07LNT062039_24,,8,Center of Riffle,8,ft2,Fine,,,3,30,68544,Mesenchytraeus,68544,Mesenchytraeus,16,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19136,13652,2596,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LNT075179,9/11/2024,4/14/2025,47.74339,-121.708721,"Rhithron Associates, Inc.",07LNT075179_24,,8,Center of Riffle,8,ft2,Fine,,,9,30,68552,Cognettia,68552,Cognettia,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19134,13650,2593,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LNT130827,9/11/2024,4/14/2025,47.744648,-121.705084,"Rhithron Associates, Inc.",07LNT130827_24,,8,Center of Riffle,8,ft2,Fine,,,2,30,68544,Mesenchytraeus,68544,Mesenchytraeus,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
14817,9802,2606,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07LST069191,9/19/2018,11/19/2018,47.688545,-121.786779,"Rhithron Associates, Inc.",07LST069191_18,,8,Center of Riffle,8,ft2,Fine,,,30,30,-200,Chamaedrilus,-200,Chamaedrilus,9,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19140,13656,2379,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07STL080295,9/12/2024,4/14/2025,47.63797,-121.914658,"Rhithron Associates, Inc.",07STL080295_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68534,Cernosvitoviella,68534,Cernosvitoviella,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19126,13642,2380,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07STL184007,9/9/2024,4/14/2025,47.66959,-121.86469,"Rhithron Associates, Inc.",07STL184007_24,,8,Center of Riffle,8,ft2,Fine,,PASS,6,30,68534,Cernosvitoviella,68534,Cernosvitoviella,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
13022,8177,2378,,,,,Tolt River,King County - DNRP,Ambient Monitoring,07STL195271,9/22/2015,4/22/2016,47.660433,-121.870026,"Rhithron Associates, Inc.",07STL195271_15,,8,Center of Riffle,8,ft2,Fine,,,3,30,68946,Nais,68946,Nais,4,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
13017,8172,2373,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Ambient Monitoring,07CHR013259,9/10/2015,4/22/2016,47.759269,-121.884733,"Rhithron Associates, Inc.",07CHR013259_15,,8,Center of Riffle,8,ft2,Fine,,,2,30,68531,Enchytraeus,68531,Enchytraeus,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19088,13604,2369,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Ambient Monitoring,07CHR045515,8/27/2024,4/14/2025,47.74605,-121.89852,"Rhithron Associates, Inc.",07CHR045515_24,,8,Center of Riffle,8,ft2,Fine,,,3,30,69168,Branchiobdellida,69168,Branchiobdellida,11,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19090,13606,2377,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Cherry Creek,King County - DNRP,Ambient Monitoring,07CHR234411,8/27/2024,4/14/2025,47.7417,-121.93982,"Rhithron Associates, Inc.",07CHR234411_24,,8,Center of Riffle,8,ft2,Fine,,,10,30,83282,Atractides,83282,Atractides,1,,adult,TRUE,FALSE,FALSE,FALSE,FALSE
19089,13605,2371,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Cherry Creek Subbasin,Margaret Creek,King County - DNRP,Ambient Monitoring,07CHR070059,8/27/2024,4/14/2025,47.75381,-121.8941,"Rhithron Associates, Inc.",07CHR070059_24,,8,Center of Riffle,8,ft2,Fine,,,10,30,68552,Cognettia,68552,Cognettia,7,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19129,13645,2592,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,King County - DNRP,Ambient Monitoring,07GRN022903,9/9/2024,4/14/2025,47.610886,-121.864122,"Rhithron Associates, Inc.",07GRN022903_24,,8,Center of Riffle,8,ft2,Fine,,,2,30,68946,Nais,68946,Nais,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19072,13589,2376,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,King County - DNRP,Ambient Monitoring,07GRN077319,8/21/2024,4/14/2025,47.615841,-121.900707,"Rhithron Associates, Inc.",07GRN077319_24,,8,Center of Riffle,8,ft2,Fine,,,2,30,68552,Cognettia,68552,Cognettia,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
13019,8174,2375,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Griffin Creek,King County - DNRP,Ambient Monitoring,07GRN208791,9/15/2015,4/22/2016,47.60582,-121.88639,"Rhithron Associates, Inc.",07GRN208791_15,,8,Center of Riffle,8,ft2,Fine,,PASS,8,30,68531,Enchytraeus,68531,Enchytraeus,4,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19056,13570,2225,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Mud Creek,King County - DNRP,Ambient Monitoring,07PAT001415,8/15/2024,4/14/2025,47.56475,-121.853444,"Rhithron Associates, Inc.",07PAT001415_24,,8,Center of Riffle,8,ft2,Fine,,,25,30,68510,Enchytraeidae,68510,Enchytraeidae,1,,not specified,TRUE,TRUE,FALSE,FALSE,FALSE
19055,13569,2599,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Griffin Creek Subbasin,Snoqualmie River tributary (0430),King County - DNRP,Ambient Monitoring,07PAT231079,8/15/2024,4/14/2025,47.54926,-121.88884,"Rhithron Associates, Inc.",07PAT231079_24,,8,Center of Riffle,8,ft2,Fine,,,18,30,204785,Fridericia,204785,Fridericia,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19049,13562,2368,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Harris Creek Subbasin,Ames Creek,King County - DNRP,Ambient Monitoring,07HAR070087,8/13/2024,4/14/2025,47.65292,-121.96087,"Rhithron Associates, Inc.",07HAR070087_24,,8,Center of Riffle,8,ft2,Fine,,,8,30,68510,Enchytraeidae,68510,Enchytraeidae,2,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
13025,8180,2381,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Harris Creek Subbasin,Harris Creek,King County - DNRP,Ambient Monitoring,07HAR055371,8/31/2015,4/22/2016,47.726195,-121.879791,"Rhithron Associates, Inc.",07HAR055371_15,,8,Center of Riffle,8,ft2,Fine,,PASS,3,30,68544,Mesenchytraeus,68544,Mesenchytraeus,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19094,13610,2366,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Harris Creek Subbasin,Snoqualmie River tributary (Harris Creek subbasin),King County - DNRP,Ambient Monitoring,07HAR025863,8/29/2024,4/14/2025,47.68279,-121.92049,"Rhithron Associates, Inc.",07HAR025863_24,,8,Center of Riffle,8,ft2,Fine,,,20,30,68552,Cognettia,68552,Cognettia,14,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19073,13590,2603,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Kimball Creek Subbasin,Coal Creek (Snoqualmie River),King County - DNRP,Ambient Monitoring,07PAT228627,8/21/2024,4/14/2025,47.523697,-121.844634,"Rhithron Associates, Inc.",07PAT228627_24,,8,Center of Riffle,8,ft2,Fine,,,6,30,68552,Cognettia,68552,Cognettia,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19123,13639,2601,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Patterson Creek Subbasin,Canyon Creek (Snoqualmie River),King County - DNRP,Ambient Monitoring,07PAT166087,9/9/2024,4/14/2025,47.583426,-121.951276,"Rhithron Associates, Inc.",07PAT166087_24,,8,Center of Riffle,8,ft2,Fine,,PASS,4,30,68552,Cognettia,68552,Cognettia,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19183,13687,2602,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Patterson Creek Subbasin,Patterson Creek,King County - DNRP,Ambient Monitoring,07PAT187623,10/2/2024,5/13/2025,47.582202,-121.929938,"Rhithron Associates, Inc.",07PAT187623_24,,8,Center of Riffle,8,ft2,Fine,,,5,30,68552,Cognettia,68552,Cognettia,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
17632,12186,2217,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Raging River tributary,King County - DNRP,Ambient Monitoring,07RAG018227,9/1/2022,2/1/2023,47.47915,-121.892999,"Rhithron Associates, Inc.",07RAG018227_22,,8,Center of Riffle,8,ft2,Fine,,,15,30,68544,Mesenchytraeus,68544,Mesenchytraeus,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
13016,8171,2372,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Raging River tributary,King County - DNRP,Ambient Monitoring,07RAG065475,8/11/2015,4/22/2016,47.458258,-121.845076,"Rhithron Associates, Inc.",07RAG065475_15,,8,Center of Riffle,8,ft2,Fine,,,26,30,68531,Enchytraeus,68531,Enchytraeus,8,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19141,13657,2224,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Snoqualmie River tributary (Raging River subbasin),King County - DNRP,Ambient Monitoring,07RAG002867,9/12/2024,4/14/2025,47.498716,-121.91917,"Rhithron Associates, Inc.",07RAG002867_24,,8,Center of Riffle,8,ft2,Fine,,,16,30,68552,Cognettia,68552,Cognettia,6,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19254,13758,2216,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Raging River Subbasin,Snoqualmie River tributary (Raging River subbasin),King County - DNRP,Ambient Monitoring,07RAG022147,9/12/2024,4/14/2025,47.457368,-121.836318,"Rhithron Associates, Inc.",07RAG022147_24,,8,Center of Riffle,8,ft2,Fine,,,8,30,68510,Enchytraeidae,68510,Enchytraeidae,2,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
19128,13644,2595,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tokul Creek Subbasin,Tokul Creek,King County - DNRP,Ambient Monitoring,07TKL047047,9/9/2024,4/14/2025,47.5802,-121.78183,"Rhithron Associates, Inc.",07TKL047047_24,,8,Center of Riffle,8,ft2,Fine,,,1,30,68946,Nais,68946,Nais,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19127,13643,2594,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tokul Creek Subbasin,Tokul Creek,King County - DNRP,Ambient Monitoring,07TKL072439,9/9/2024,4/14/2025,47.621687,-121.784871,"Rhithron Associates, Inc.",07TKL072439_24,,8,Center of Riffle,8,ft2,Fine,,,7,30,68552,Cognettia,68552,Cognettia,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19137,13653,2815,7,WRIA 7 - Snohomish,Lower Snoqualmie Basin,Tolt River Subbasin,Lower S Fork Tolt River tributary (0303),King County - DNRP,Ambient Monitoring,07LNT163403,9/11/2024,4/14/2025,47.744299,-121.820777,"Rhithron Associates, Inc.",07LNT163403_24,,8,Center of Riffle,8,ft2,Fine,,,3,30,68440,Lumbriculidae,68440,Lumbriculidae,12,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19105,13623,2374,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS026663,9/4/2024,4/14/2025,47.544336,-121.543278,"Rhithron Associates, Inc.",07LMS026663_24,,8,Center of Riffle,8,ft2,Fine,,,13,30,83282,Atractides,83282,Atractides,3,,adult,TRUE,FALSE,FALSE,FALSE,FALSE
13010,8161,2364,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS029443,9/14/2015,4/22/2016,47.478514,-121.690456,"Rhithron Associates, Inc.",07LMS029443_15,,8,Center of Riffle,8,ft2,Fine,,,4,30,69168,Branchiobdellida,69168,Branchiobdellida,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19329,13835,2362,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS033235,9/4/2024,4/14/2025,47.51684,-121.61166,"Rhithron Associates, Inc.",07LMS033235_24_R,,8,Center of Riffle,8,ft2,Fine,,,4,30,68898,Dero,68898,Dero,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19147,13663,2363,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS055075,9/17/2024,4/14/2025,47.488376,-121.719565,"Rhithron Associates, Inc.",07LMS055075_24,,8,Center of Riffle,8,ft2,Fine,,,3,30,68510,Enchytraeidae,68510,Enchytraeidae,1,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
18495,12985,2365,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS093027,9/21/2023,5/17/2024,47.48627,-121.757711,"Rhithron Associates, Inc.",07LMS093027_23,,8,Center of Riffle,8,ft2,Fine,,,16,30,68946,Nais,68946,Nais,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19330,13836,2591,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS103591,9/4/2024,4/14/2025,47.54324,-121.54146,"Rhithron Associates, Inc.",07LMS103591_R,,8,Center of Riffle,8,ft2,Fine,,,12,30,68544,Mesenchytraeus,68544,Mesenchytraeus,4,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19106,13624,2604,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,Lower Middle Fork Snoqualmie Subbasin,Snoqualmie River - Middle Fork tributary (Lower),King County - DNRP,Ambient Monitoring,07LMS213875,9/4/2024,4/14/2025,47.495175,-121.640286,"Rhithron Associates, Inc.",07LMS213875_24,,8,Center of Riffle,8,ft2,Fine,,PASS,8,30,68946,Nais,68946,Nais,7,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19125,13641,2383,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS009443,9/9/2024,4/14/2025,47.467888,-121.752865,"Rhithron Associates, Inc.",07SFS009443_24,,8,Center of Riffle,8,ft2,Fine,,PASS,1,30,68552,Cognettia,68552,Cognettia,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19057,13572,2222,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS011059,8/15/2024,4/14/2025,47.488057,-121.785286,"Rhithron Associates, Inc.",07SFS011059_24,,8,Center of Riffle,8,ft2,Fine,,,3,30,68946,Nais,68946,Nais,5,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19122,13638,2221,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS011475,9/9/2024,4/14/2025,47.440617,-121.66643,"Rhithron Associates, Inc.",07SFS011475_24,,8,Center of Riffle,8,ft2,Fine,,,6,30,-156,Cystobranchus salmositicus,-156,Cystobranchus salmositicus,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19124,13640,2384,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS041891,9/9/2024,4/14/2025,47.470956,-121.772703,"Rhithron Associates, Inc.",07SFS041891_24,,8,Center of Riffle,8,ft2,Fine,,PASS,4,30,68544,Mesenchytraeus,68544,Mesenchytraeus,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19077,13593,2389,7,WRIA 7 - Snohomish,Snoqualmie Forks Basin,S Fork Snoqualmie Subbasin,Snoqualmie River - S Fork tributary,King County - DNRP,Ambient Monitoring,07SFS066611,8/20/2024,4/14/2025,47.440732,-121.649546,"Rhithron Associates, Inc.",07SFS066611_24,,8,Center of Riffle,8,ft2,Fine,,,12,30,68510,Enchytraeidae,68510,Enchytraeidae,10,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
19336,13841,136,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.),King County - DNRP,Ambient Monitoring,08EAS2446,8/28/2024,4/29/2025,47.551769,-122.164559,"Rhithron Associates, Inc.",08EAS2446_24_R,,8,Center of Riffle,8,ft2,Fine,,,13,30,68552,Cognettia,68552,Cognettia,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
18949,13464,137,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Coal Creek (Cedar) Subbasin,Coal Creek (Lake Wash.) tributary (0273),King County - DNRP,Ambient Monitoring,08EAS2540,7/16/2024,5/13/2025,47.550172,-122.156867,"Rhithron Associates, Inc.",08EAS2540_24,,8,Center of Riffle,8,ft2,Fine,,,12,30,68552,Cognettia,68552,Cognettia,4,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19067,13583,204,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Kenmore N Subbasin,Lake Washington tributary (0056),King County - DNRP,Ambient Monitoring,08WES1178,8/21/2024,5/13/2025,47.766499,-122.263888,"Rhithron Associates, Inc.",08WES1178_24,,8,Center of Riffle,8,ft2,Fine,,,9,30,69444,Erpobdella,69444,Erpobdella,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
19034,13547,131,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,E Lake Washington - Kenmore S Subbasin,Denny Creek,King County - DNRP,Ambient Monitoring,08EAS1536,8/7/2024,4/29/2025,47.709929,-122.248781,"Rhithron Associates, Inc.",08EAS1536_24,,8,Center of Riffle,8,ft2,Fine,,,6,30,68510,Enchytraeidae,68510,Enchytraeidae,1,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
18245,12728,134,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Forbes Creek Subbasin,Forbes Creek (0242),King County - DNRP,Ambient Monitoring,08EAS2191,8/15/2023,4/18/2024,47.695551,-122.197014,"Rhithron Associates, Inc.",08EAS2191_23,,8,Center of Riffle,8,ft2,Fine,,,11,30,68552,Cognettia,68552,Cognettia,4,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
18976,13490,138,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,East Creek,King County - DNRP,Ambient Monitoring,08EAS2546,7/30/2024,5/13/2025,47.582723,-122.157426,"Rhithron Associates, Inc.",08EAS2546_24,,8,Center of Riffle,8,ft2,Fine,,,4,30,68946,Nais,68946,Nais,4,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
18975,13489,135,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Kelsey Creek Subbasin,Kelsey Creek,King County - DNRP,Ambient Monitoring,08EAS2272,7/30/2024,4/29/2025,47.623286,-122.156843,"Rhithron Associates, Inc.",08EAS2272_24,,8,Center of Riffle,8,ft2,Fine,,,6,30,68876,Pristina,68876,Pristina,1,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
18924,13440,123,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Cedar River - Lower tributary (0311),King County - DNRP,Ambient Monitoring,08CED2898,7/3/2024,5/13/2025,47.461466,-122.125545,"Rhithron Associates, Inc.",08CED2898_24,,8,Center of Riffle,8,ft2,Fine,,,23,30,68552,Cognettia,68552,Cognettia,14,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
17552,12095,127,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Hotel Creek (0342),King County - DNRP,Ambient Monitoring,08CED4975,7/21/2022,3/13/2023,47.410569,-121.921792,"Rhithron Associates, Inc.",08CED4975_22,,8,Center of Riffle,8,ft2,Fine,,,30,30,68510,Enchytraeidae,68510,Enchytraeidae,8,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
19333,13838,122,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Madsen Creek,King County - DNRP,Ambient Monitoring,08CED2711,8/29/2024,4/29/2025,47.453235,-122.137979,"Rhithron Associates, Inc.",08CED2711_24_R,,8,Center of Riffle,8,ft2,Fine,,,7,30,68510,Enchytraeidae,68510,Enchytraeidae,2,,not specified,FALSE,FALSE,FALSE,FALSE,FALSE
19185,13689,120,8,WRIA 8 - Cedar-Sammamish,Cedar River / Lake Washington Basin,Lower Cedar River Subbasin,Maplewood Creek,King County - DNRP,Ambient Monitoring,08CED2433,9/25/2024,5/13/2025,47.474227,-122.163593,"Rhithron Associates, Inc.",08CED2433_24,,8,Center of Riffle,8,ft2,Fine,,,1,30,68552,Cognettia,68552,Cognettia,2,,not specified,TRUE,FALSE,FALSE,FALSE,FALSE
